num_index_per_subject,M,ef_construction,ef_search,index_build_time,hit_rate,avg_time_ms,total_queries
4,32,400,500,0.0048,0.8833333333333333,0.1232,60
4,32,500,100,0.0053,0.8833333333333333,0.1185,60
4,32,500,200,0.0051,0.8833333333333333,0.1541,60
4,32,500,300,0.0054,0.8833333333333333,0.1596,60
4,32,500,400,0.0045,0.8833333333333333,0.1168,60
4,32,500,500,0.0050,0.8833333333333333,0.1535,60
4,48,100,100,0.0049,0.8833333333333333,0.1070,60
4,48,100,200,0.0042,0.8833333333333333,0.1084,60
4,48,100,300,0.0043,0.8833333333333333,0.1223,60
4,48,100,400,0.0047,0.8833333333333333,0.1379,60
4,48,100,500,0.0047,0.8833333333333333,0.1086,60
4,48,200,100,0.0043,0.8833333333333333,0.1220,60
4,48,200,200,0.0047,0.8833333333333333,0.1372,60
4,48,200,300,0.0047,0.8833333333333333,0.1389,60
4,48,200,400,0.0043,0.8833333333333333,0.1237,60
4,48,200,500,0.0043,0.8833333333333333,0.1082,60
4,48,300,100,0.0043,0.8833333333333333,0.1229,60
4,48,300,200,0.0043,0.8833333333333333,0.1227,60
4,48,300,300,0.0042,0.8833333333333333,0.1206,60
4,48,300,400,0.0042,0.8833333333333333,0.1217,60
4,48,300,500,0.0049,0.8833333333333333,0.1443,60
4,48,400,100,0.0047,0.8833333333333333,0.1083,60
4,48,400,200,0.0049,0.8833333333333333,0.1467,60
4,48,400,300,0.0043,0.8833333333333333,0.1239,60
4,48,400,400,0.0042,0.8833333333333333,0.1221,60
4,48,400,500,0.0049,0.8833333333333333,0.1400,60
4,48,500,100,0.0050,0.8833333333333333,0.1447,60
4,48,500,200,0.0050,0.8833333333333333,0.1327,60
4,48,500,300,0.0045,0.8833333333333333,0.1279,60
4,48,500,400,0.0046,0.8833333333333333,0.1288,60
4,48,500,500,0.0050,0.8833333333333333,0.1473,60
4,64,100,100,0.0050,0.8833333333333333,0.1470,60
4,64,100,200,0.0047,0.8833333333333333,0.1375,60
4,64,100,300,0.0045,0.8833333333333333,0.1134,60
4,64,100,400,0.0049,0.8833333333333333,0.1134,60
4,64,100,500,0.0047,0.8833333333333333,0.1343,60
4,64,200,100,0.0043,0.8833333333333333,0.1253,60
4,64,200,200,0.0050,0.8833333333333333,0.1145,60
4,64,200,300,0.0050,0.8833333333333333,0.1127,60
4,64,200,400,0.0047,0.8833333333333333,0.1102,60
4,64,200,500,0.0049,0.8833333333333333,0.1374,60
4,64,300,100,0.0043,0.8833333333333333,0.1065,60
4,64,300,200,0.0044,0.8833333333333333,0.1208,60
4,64,300,300,0.0047,0.8833333333333333,0.1080,60
4,64,300,400,0.0044,0.8833333333333333,0.1227,60
4,64,300,500,0.0044,0.8833333333333333,0.1219,60
4,64,400,100,0.0048,0.8833333333333333,0.1389,60
4,64,400,200,0.0047,0.8833333333333333,0.1335,60
4,64,400,300,0.0043,0.8833333333333333,0.1181,60
4,64,400,400,0.0045,0.8833333333333333,0.1252,60
4,64,400,500,0.0044,0.8833333333333333,0.1224,60
4,64,500,100,0.0043,0.8833333333333333,0.1065,60
4,64,500,200,0.0046,0.8833333333333333,0.1352,60
4,64,500,300,0.0046,0.8833333333333333,0.1340,60
4,64,500,400,0.0043,0.8833333333333333,0.1219,60
4,64,500,500,0.0042,0.8833333333333333,0.1324,60
5,16,100,100,0.0070,0.92,0.1560,50
5,16,100,200,0.0071,0.92,0.1663,50
5,16,100,300,0.0071,0.92,0.1664,50
5,16,100,400,0.0078,0.92,0.1450,50
5,16,100,500,0.0071,0.92,0.1473,50
5,16,200,100,0.0077,0.92,0.1843,50
5,16,200,200,0.0072,0.92,0.1638,50
5,16,200,300,0.0069,0.92,0.1627,50
5,16,200,400,0.0073,0.92,0.1737,50
5,16,200,500,0.0072,0.92,0.1584,50
5,16,300,100,0.0071,0.92,0.1618,50
5,16,300,200,0.0082,0.92,0.1876,50
5,16,300,300,0.0081,0.92,0.1954,50
5,16,300,400,0.0073,0.92,0.1433,50
5,16,300,500,0.0081,0.92,0.1913,50
5,16,400,100,0.0073,0.92,0.1728,50
5,16,400,200,0.0071,0.92,0.1699,50
5,16,400,300,0.0071,0.92,0.1585,50
5,16,400,400,0.0072,0.92,0.1636,50
5,16,400,500,0.0069,0.92,0.1576,50
5,16,500,100,0.0073,0.92,0.1740,50
5,16,500,200,0.0077,0.92,0.1862,50
5,16,500,300,0.0079,0.92,0.1820,50
5,16,500,400,0.0070,0.92,0.1444,50
5,16,500,500,0.0078,0.92,0.1853,50
5,32,100,100,0.0081,0.92,0.1882,50
5,32,100,200,0.0069,0.92,0.1616,50
5,32,100,300,0.0072,0.92,0.1507,50
5,32,100,400,0.0069,0.92,0.1613,50
5,32,100,500,0.0070,0.92,0.1615,50
5,32,200,100,0.0070,0.92,0.1478,50
5,32,200,200,0.0069,0.92,0.1620,50
5,32,200,300,0.0069,0.92,0.1619,50
5,32,200,400,0.0070,0.92,0.1618,50
5,32,200,500,0.0078,0.92,0.1791,50
5,32,300,100,0.0077,0.92,0.1835,50
5,32,300,200,0.0069,0.92,0.1632,50
5,32,300,300,0.0073,0.92,0.1645,50
5,32,300,400,0.0070,0.92,0.1627,50
5,32,300,500,0.0073,0.92,0.1505,50
5,32,400,100,0.0069,0.92,0.1644,50
5,32,400,200,0.0074,0.92,0.1662,50
5,32,400,300,0.0076,0.92,0.1838,50
5,32,400,400,0.0081,0.92,0.1732,50
5,32,400,500,0.0072,0.92,0.1591,50
5,32,500,100,0.0073,0.92,0.1723,50
5,32,500,200,0.0073,0.92,0.1507,50
5,32,500,300,0.0080,0.92,0.1948,50
5,32,500,400,0.0072,0.92,0.1710,50
5,32,500,500,0.0068,0.92,0.1443,50
5,48,100,100,0.0077,0.92,0.1639,50
5,48,100,200,0.0070,0.92,0.1426,50
5,48,100,300,0.0070,0.92,0.1590,50
5,48,100,400,0.0074,0.92,0.1769,50
5,48,100,500,0.0067,0.92,0.1374,50
5,48,200,100,0.0073,0.92,0.1726,50
5,48,200,200,0.0067,0.92,0.1469,50
5,48,200,300,0.0071,0.92,0.1565,50
5,48,200,400,0.0066,0.92,0.1503,50
5,48,200,500,0.0067,0.92,0.1355,50
5,48,300,100,0.0078,0.92,0.1434,50
5,48,300,200,0.0076,0.92,0.1355,50
5,48,300,300,0.0074,0.92,0.1383,50
5,48,300,400,0.0069,0.92,0.1583,50
5,48,300,500,0.0068,0.92,0.1468,50
5,48,400,100,0.0073,0.92,0.1686,50
5,48,400,200,0.0067,0.92,0.1492,50
5,48,400,300,0.0066,0.92,0.1464,50
5,48,400,400,0.0074,0.92,0.1684,50
5,48,400,500,0.0067,0.92,0.1555,50
5,48,500,100,0.0066,0.92,0.1355,50
5,48,500,200,0.0068,0.92,0.1487,50
5,48,500,300,0.0067,0.92,0.1544,50
5,48,500,400,0.0066,0.92,0.1550,50
